plot_name	sample_name	colony_points	theta	psi	elevation	plane_i,	plane_j	plane_k	axis_i	axis_j	axis_k
cur_kal_05m_20200214	KP0974_AC_WP05	3842	16.930042124884867	-62.72120944827667	116.99575154108403	-0.13817280633916953	0.880261828540863	-0.4539244307175531	-0.880261828540863	-0.13817280633916953	0.0
cur_kal_05m_20200214	KP0975_AC_WP05	503	-24.423296857398316	54.651067505553456	55.97431742917539	-0.25410408728255496	0.7888718073331117	0.559564459576633	0.7888718073331117	0.25410408728255496	-0.0
cur_kal_05m_20200214	KP0976_AC_WP05	43	53.504853378802125	-29.674151337703154	55.716481127175875	0.7613754543585372	-0.32095731430709373	0.5632883985074685	-0.32095731430709373	-0.7613754543585372	0.0
cur_kal_05m_20200214	KP0977_AC_WP05	139	19.712161177676297	57.06720694738973	57.749237608033134	0.19119348085887933	0.8238255829843708	0.5336257693342095	0.8238255829843708	-0.19119348085887933	0.0
cur_kal_05m_20200214	KP0978_AC_WP05	5474	-83.87644671167234	-53.66897214967028	96.05989286165897	0.9839962753118306	0.14355043026965647	-0.1055680071889216	-0.14355043026965647	0.9839962753118306	0.0
cur_kal_05m_20200214	KP0979_HU_WP05	100	-35.61923095345419	29.974776070597624	42.60627465198303	-0.5273144348857529	0.4245111251256989	0.7360229557599628	0.4245111251256989	0.5273144348857529	-0.0
cur_kal_05m_20200214	KP0980_HU_WP05	57	17.61788910928921	48.770453154409346	49.82687870165761	0.2048592583944245	0.7361246994336538	0.6450993033121328	0.7361246994336538	-0.2048592583944245	0.0
cur_kal_05m_20200214	KP0981_AC_WP05	3954	-68.32595351887504	39.18375999731971	110.71064058790633	0.8898526836029977	-0.2882618532294548	-0.3536485620743615	0.2882618532294548	0.8898526836029977	-0.0
cur_kal_05m_20200214	KP0982_AC_WP05	11621	-17.688914732811188	-47.018798928543006	131.77388336899563	0.2124671679437713	0.7148742028581859	-0.666192597252346	-0.7148742028581859	0.2124671679437713	0.0
cur_kal_05m_20200214	KP0983_AC_WP05	1319	-51.84503446076639	-40.313389681394646	123.1735319542948	0.6964631778887159	0.46425940007185895	-0.5471766180037928	-0.46425940007185895	0.6964631778887159	0.0
cur_kal_05m_20200214	KP0984_HU_WP05	171	3.528504383965852	42.044628460646166	42.11109236730169	0.045743704041691854	0.6690082032209389	0.7418460335970241	0.6690082032209389	-0.045743704041691854	0.0
cur_kal_05m_20200214	KP0986_HU_WP05	106	-41.891333739086605	-13.801085280618542	42.92292768059786	-0.6568287894654875	-0.17987757869900547	0.7322704404867681	-0.17987757869900547	0.6568287894654875	0.0
cur_kal_05m_20200214	KP0987_HU_WP05	52	-24.418654999113176	-33.14539629291754	38.49660800260944	-0.3553308243803411	-0.5110839409239049	0.7826450092953241	-0.5110839409239049	0.3553308243803411	0.0
cur_kal_05m_20200214	KP0988_AC_WP05	61	39.403678908514266	13.260601568317147	40.51887063288586	0.624510518731548	0.17914992657649842	0.7601920256101666	0.17914992657649842	-0.624510518731548	0.0
