,xy,xz,yz,prop,overhang,range
KP0084_AC_SB10,1.5150788448508796,14.216124103411312,2.9561269704612743,0.2762894634116914,No,0.03065166202040113
KP0085_AC_SB10,0.6773423396101516,12.592619051927997,14.921260781492055,0.33295020189075114,No,0.05792106051043635
KP0086_LM_SB10,4.782048581614823,22.547754435256316,9.618312632287248,0.5023613381968927,No,0.09598010464527905
KP0087_AC_SB10,1.4344162978952282,5.238303484640376,0.07778823702834499,0.5106719143041165,No,0.052659712499380444
KP0088_AC_SB10,0.009705690328776547,10.749587888217944,0.14652103711953537,0.628085284041329,No,0.1131772897483072
KP0089_AC_SB10,9.916898706401312,19.066652347239646,12.431739494534979,0.5932223455824562,No,0.08335800394650614
KP0090_AC_SB10,12.977781792982423,25.58004574374615,3.204557705653692,0.8084311781410579,No,0.030657233441047947
KP0091_HU_SB10,16.372732358375476,18.547749687936914,1.094575002157333,0.3355674589865859,No,0.01918006736209254
KP0092_HU_SB10,0.19800359295319364,72.17911868362674,0.5179195644526374,0.5115314236262537,No,0.024789291529124177
KP0093_HU_SB10,13.070761543333196,2.572630564727931,38.459440789184406,0.4269086848842484,No,0.024560985713815396
KP0094_HU_SB10,0.8620016536119095,10.055114185500251,29.899140905862478,0.5273807136589419,No,0.03869241116810207
KP0095_AC_SB10,21.784522354368338,24.01106774556771,13.98454243005952,0.5022270169065284,No,0.030180570266319696
KP0098_AC_SB10,2.368959079986895,10.88737864696327,21.44467341472894,0.46704090691487327,No,0.03970508499616805
KP0099_AC_SB10,4.315862740846886,4.364855456355939,49.9033069070277,0.5078989341129314,No,0.017943288464461787
KP0100_AC_SB10,13.772417213820658,6.813338483878108,18.01752537563601,0.6335837077290019,No,0.028064383280625695
KP0101_AC_SB10,22.467060378598077,3.9578102679372895,6.047351241818999,0.617065502149584,No,0.0839247446824599
KP0102_AC_SB10,19.09895760641728,10.859168775640367,6.577454850113009,0.7149840202615226,No,0.14990573302262716
KP0103_AC_SB10,17.448322896401837,18.232930939262744,2.8408987634403142,0.5661345539633843,No,0.04793671152622206
KP0104_AC_SB10,12.053126264603367,10.755040170827607,10.17275110217808,0.6172788728161135,No,0.06056615236911239
KP0105_AC_SB10,8.646355323482467,31.003953928783623,12.697772906996706,0.5335929851034444,No,0.038324766699859555
KP0107_AC_SB10,30.54117482387799,27.446097456342116,15.187899308561766,0.6108232440436212,No,0.08164338123557965
KP0108_AC_SB10,8.3989264840568,9.18324373817913,5.358436683953754,0.64510063318453,No,0.05109304835444775
KP0109_LM_SB10,6.47242034516887,29.96828802333758,11.24159925955825,0.5040095412357453,No,0.0874533530002641
KP0112_AC_SB10,16.811714375431258,15.843198265936186,7.375150104610581,0.4122902841611585,No,0.04275709655321262
KP0113_LM_SB10,36.60994179521868,4.300995024407284,11.853578714244632,0.5493383727948022,No,0.08599884694288323
KP0116_AC_SB10,14.317041337686268,1.804682120233506,5.479053609721086,0.7730849495225108,No,0.08081345909715003
KP0117_AC_SB10,7.616933132862277,11.745496682080217,21.707810880442892,0.5071941462298674,No,0.05482109418233124
KP0119_AC_SB10,3.3104970180802216,15.536804650402052,12.587089886820204,0.3378201137964202,Yes,0.12852770949310155
KP0121_AC_SB10,8.673061641557332,23.529116856055502,9.218869759212106,0.6475491095925445,No,0.03886701541715824
KP0122_AC_SB10,2.4856134628018327,23.61802365329723,2.566630442679206,0.5077286964448016,No,0.050857853175419285
KP0123_AC_SB10,4.09465137024726,5.768722454065325,1.566322972629219,0.7854560764005348,No,0.12244030042146085
KP0124_AC_SB10,29.288179241824974,4.167022807935655,1.4879695372171113,0.662974731107921,No,0.0674411394664847
KP0125_AC_SB10,0.11169007642854939,0.9528932197116216,3.69182817019855,0.7575415288168662,No,0.03005731598304444
KP0126_AC_SB10,5.760757945093365,12.013454557929496,15.56013464251121,0.6953684962253742,No,0.15014322308433484
