,xy,xz,yz,prop,overhang,range
KP0793_AC_WP10,12.834333906779008,12.851693319794778,35.37558785441734,0.47201297870332576,No,0.07307665325059153
KP0794_AC_WP10,29.668063264283646,35.92811942399514,5.828447814196441,0.6445839766209293,No,0.031369594625548926
KP0795_LM_WP10,2.958253804735183,20.24214314415861,1.608492288664942,0.3234297676506074,No,0.13073450458676017
KP0797_AC_WP10,7.4999532268688665,28.155900775597427,0.527000791745958,0.5487016884443575,No,0.07179618253164201
KP0799_AC_WP10,0.41526179637180727,21.73799907513707,8.254538282632078,0.5521665343372257,No,0.11352553765933264
KP0800_AC_WP10,4.9999353128397885,15.183558622493862,22.483202933072594,0.6403881708885613,No,0.05234944002025637
KP0801_AC_WP10,1.2693558564242586,8.211635448925941,0.8552573648982058,0.41978730885929455,No,0.06001513206087198
KP0802_AC_WP10,11.41098763292656,20.326271410190028,19.02753491639,0.3550515960373684,No,0.03959732144834432
KP0803_HU_WP10,16.622277769898787,19.53170345292748,20.907224203523807,0.5619746298069089,No,0.02880223671295911
KP0804_AC_WP10,3.9261167994532693,0.8948587958657876,31.48057704431774,0.511056139383404,No,0.06805358823105911
KP0805_HU_WP10,8.99482732511405,1.5745810561994213,47.24652498683389,0.45767754404243755,No,0.042353639868986444
KP0806_AC_WP10,0.375956039132242,5.202839594282722,9.507111471305096,0.778982679821017,No,0.03692260784074953
KP0807_AC_WP10,4.093186294284184,15.415281433976238,35.84413925568572,0.5652007440890239,No,0.13016573662841419
KP0808_AC_WP10,3.1557939883308554,24.23347022308759,1.1938916081763493,0.5775772768423142,No,0.09686263806042547
KP0809_AC_WP10,7.190654037145824,3.0320197651400673,12.596992215918544,0.500561016532677,No,0.041646610672417705
KP0810_AC_WP10,7.800304018243103,13.653539109094423,32.1713872191212,0.5017973467014923,No,0.04579807905390915
KP0811_AC_WP10,1.0326859798876604,5.943331106131144,21.700209830511223,0.5570471032322509,No,0.041588185507538004
KP0812_AC_WP10,25.829209144908045,13.773190914413172,17.21662997600771,0.5151277919149578,No,0.09251349133339258
KP0813_AC_WP10,9.514346929688468,6.739757456597168,50.6791356085168,0.5238314385590597,No,0.13448309589749258
KP0815_AC_WP10,26.615000955730103,23.927700970216435,18.857835219068892,0.44838933630328776,Yes,0.20998673693638348
KP0816_AC_WP10,14.069071315819212,35.84685744011427,15.373297224176895,0.48643812286779536,No,0.07379356161106439
KP0817_AC_WP10,7.022938795629368,21.369959087897687,8.818701450121035,0.5958228980371675,No,0.09363725295244262
KP0819_AC_WP10,2.5585837093742945,3.117078886054514,17.443430453160165,0.3944808970391179,No,0.06840205862540107
KP0820_AC_WP10,19.38039418565679,9.971337775615181,5.832135019456836,0.781762863149607,No,0.0345792480081424
KP0823_AC_WP10,0.339670801399416,16.760279806590937,10.524224602407251,0.6146321906690895,No,0.10490758727005889
KP0824_AC_WP10,17.080883809415166,12.978045895972253,29.161647093259194,0.49111149084640865,Yes,0.18000780490106566
KP0825_AC_WP10,38.784335655534825,3.877597898018167,4.116203194946295,0.5132871056406276,No,0.09129696987642313
KP0831_HU_WP10,9.335580755654826,20.70370406664865,11.948795190897709,0.5353734765984197,No,0.031041345900495163
KP0833_AC_WP10,3.2581295955858813,12.592353368504192,7.009937588400922,0.5365763924545845,No,0.04553348344794931
KP0835_AC_WP10,6.245157550457827,6.992568808086702,26.64730625431934,0.505903273971244,No,0.10819225558677002
KP0837_AC_WP10,2.410015704291133,46.5966978941079,6.872532352721961,0.5290609667021324,Yes,0.17586257692862492
KP0845_AC_WP10,1.3082640140131774,27.549296898398893,11.933062865675138,0.36973544443325074,No,0.02942145658513227
KP0849_AC_WP10,3.884148592814972,22.21467523491761,11.850103957968036,0.5530748083390075,No,0.13092014047139364
KP0851_AC_WP10,3.636334738452877,10.652433959993777,17.804372764712568,0.5156199483321546,No,0.07271408831287793
KP0853_AC_WP10,13.611968510203031,2.1095443518704404,25.389403992610276,0.7419434781975365,No,0.04127181827867938
KP0855_AC_WP10,6.2309307117833175,16.917978476414298,10.203381367803265,0.5490768941365943,No,0.09068389207996772
KP0857_AC_WP10,14.524621489122666,18.785129829409478,6.996130894092031,0.5758678083046823,No,0.18667931012723993
KP0859_HU_WP10,6.166872110875863,28.54683069705395,5.9031054454160365,0.4238761192999616,No,0.03018747341999111
KP0861_AC_WP10,1.3940776856945178,19.41699415152583,10.538885404512344,0.45970534207794705,No,0.061415035800971726
KP0863_AC_WP10,39.61248328384345,1.4681315891590268,13.34886578600601,0.7497415565066867,No,0.06801436917217034
KP0879_AC_WP10,16.191389259068536,13.866195304372386,16.257382451224874,0.5764309910903378,No,0.07364783663209383
KP0881_AC_WP10,14.338199021295411,37.54930105038667,5.305114732373123,0.7165665819272059,No,0.09298953690104407
KP0883_AC_WP10,21.24355492344519,37.34011174484291,22.113149633189938,0.5671714130526649,No,0.13200278864002254
KP0885_AC_WP10,30.485810442929697,23.788676477579067,25.781037693605242,0.5790939809756478,No,0.09774678627175422
KP0887_AC_WP10,19.521897005089674,20.899760997103456,10.879022557218192,0.35627004834724885,No,0.10053302187028995
KP0889_LM_WP10,22.159492409931204,29.029337751448747,14.728521758653363,0.4130016919579665,Yes,0.17705362889992002
KP0891_AC_WP10,2.0439098102045037,15.390645472336839,8.630863109524185,0.5473664547660522,No,0.02650726190512751
KP0893_LM_WP10,12.96250652174236,11.578731997073486,24.00310670510986,0.530329966835272,Yes,0.1180498997196631
KP0895_AC_WP10,5.583230859585794,10.134970504151157,50.732857254233636,0.5282139202049472,No,0.09461530846254929
KP0899_HU_WP10,5.237878329554349,9.15342544643709,14.334502787559737,0.5750270679799633,No,0.015018396693798747
KP0903_HU_WP10,6.785958052024638,27.114322074912923,6.563228377219986,0.7660563839668474,No,0.023439329322118008
