,colony_theta_xz,colony_psi_yz,colony_rugosity,overhang_prop,outcrop_prop,environment_rugosity,range
KP0311_AC_WP20,39.125405164897174,17.358034141509627,[2.00787081],0.0,0.7423799874150158,2.3794914009154113,0.03637561405868192
KP0312_AC_WP20,83.83555634260586,68.13639436370623,[3.2797877],0.0,0.7772957646384426,2.4559160148250343,0.03247620564639649
KP0313_AC_WP20,58.80718501371514,78.97339343089764,[1.51508352],0.0020408163265306124,0.7648945154786037,2.009024555335146,0.06039152080030858
KP0315_AC_WP20,66.32904703011,38.44889479164009,[2.60028022],0.0,0.6015497162562914,2.4893578841010395,0.04802366110701803
KP0316_AC_WP20,65.06606514174922,58.082227804197075,[5.10281536],0.0,0.57003893627704,2.619961913286546,0.016541622261815936
KP0317_AC_WP20,49.46004028918384,65.523320136085,[2.01886508],0.0,0.4999318548350116,2.598187114058469,0.02874008098173182
KP0318_LM_WP20,49.086377597490596,12.01770106112474,[3.90500648],0.007228915662650603,0.4135943777837436,1.8123837130090439,0.040168077103460494
KP0319_LM_WP20,49.03507394440948,12.985439869908902,[3.59764283],0.21932717678100264,0.220086504355902,1.7302013796736375,0.08220772297508175
KP0320_LM_WP20,47.35926873135096,13.630990293023626,[1.93717021],0.2096947935368043,0.19947449643268547,1.8978023570089848,0.1459112204097564
KP0321_LM_WP20,48.5356497182217,35.64300098858306,[3.42106687],0.027804410354745925,0.5417784094511101,2.3359917158304357,0.04895177873303656
KP0322_LM_WP20,21.730554191012004,15.779844606962671,[1.94037582],0.1534769833496572,0.4132798273895499,2.148876331947591,0.3017741824056376
KP0323_AC_WP20,34.536765628575814,67.76530328822952,[1.84539264],0.0,0.8501358151642167,2.731950437886886,0.01507131939144032
KP0324_AC_WP20,76.12539615239987,79.46705801379615,[2.63721989],0.0,0.763405514385159,2.8532104280103914,0.08469531546853999
KP0325_AC_WP20,9.418789005982205,58.229528675986785,[1.23081191],0.007272727272727273,0.6208922340191171,2.306194659099646,0.047099767902414505
KP0326_AC_WP20,47.84335297586334,62.003161654714276,[2.84421887],0.0,0.70709239282451,2.098752381901676,0.07099122368460108
KP0327_AC_WP20,70.36067847092083,80.49316559064941,[1.81552471],0.008418837148118917,0.6089961868545591,2.7311954450308935,0.09619156281685823
KP0328_LM_WP20,36.19029845026893,32.5572587903718,[2.53203472],0.01171303074670571,0.5234571478738778,2.1883341329620993,0.06576529454827712
KP0329_AC_WP20,41.226073293966905,41.78767293598597,[2.40169936],0.009203095586697343,0.5738085393575771,2.1831762654262112,0.0967450335564861
KP0330_LM_WP20,22.677374479471993,10.032922701964464,[1.28807686],0.011522633744855968,0.5903800335931555,2.1739005713792223,0.12904861259745562
KP0331_AC_WP20,11.300097883455704,11.289295375010315,[1.56883789],0.021108179419525065,0.5234139953960669,2.093692337594202,0.08422570942549983
KP0332_AC_WP20,69.14471905334644,73.59213036660417,[2.18325986],0.0,0.6343241174185061,2.1259950054054477,0.06850610509671318
KP0333_AC_WP20,64.5480059932529,50.12382138953586,[2.9533315],0.0,0.6601383054880752,2.0233266515129036,0.02477408752153917
KP0334_AC_WP20,77.08688141518708,67.70516840321336,[2.43192931],0.02014388489208633,0.6230133691648853,1.8930351718784506,0.05993230667364257
KP0335_AC_WP20,63.84218192216857,76.62462030585151,[3.10875665],0.0,0.8423913249577978,1.8016646325377903,0.04331115427297519
KP0336_AC_WP20,8.083877087972773,21.466693778672987,[1.27545322],0.0,0.8398434857174892,1.914627844379729,0.04881662476684599
KP0337_AC_WP20,50.83351943163454,52.60508879496091,[1.9748968],0.0,0.8222513358175361,2.038909602114152,0.04353748828083483
KP0338_AC_WP20,72.6773450699462,78.59895659347836,[1.72813617],0.0,0.7723918807816816,2.135692738018573,0.15669648186022286
KP0339_AC_WP20,74.62827902942688,31.18276120755748,[1.86542807],0.05476673427991886,0.5421680995198846,2.2559746747766565,0.026908544645715883
