X,colony_theta_xz,colony_psi_yz,colony_rugosity,overhang_prop,outcrop_prop,environment_rugosity,range
KP0763_LM_WP10,11.9097072318643,56.6165810554665,1.51187404,0.571428571428571,0.51829452013814,1.81296452658196,0.179974946750798
KP0764_HU_WP10,54.7701886361413,69.6253542141463,1.75919309,NA,0.545371550807457,1.99898981949566,0.0415756441043438
KP0765_AC_WP10,72.4800645350454,56.2495435925333,1.32606758,0.275862068965517,0.483799242298819,1.84444015699159,0.0620924783681225
KP0766_AC_WP10,69.080080638576,69.0546587126872,1.83876285,0.359437751004016,0.483373234104589,2.35653733416383,0.0803702519831686
KP0767_AC_WP10,59.0514203101747,63.637092887565,1.25291972,NA,0.397889881735077,2.16961371017765,0.0903017507229034
KP0768_HU_WP10,58.3393052208527,41.7998040141706,2.05836058,0.032258064516129,0.524895354095025,1.72540987858911,0.027002646795979
KP0769_AC_WP10,29.4583373325236,54.7133488393987,2.96047288,0.0530799475753604,0.69297134777578,2.86035356097133,0.305259976899422
KP0770_AC_WP10,34.6138392684115,23.8899053706659,2.62093673,NA,0.456966631355372,2.22071634839544,0.0159074754191579
KP0771_AC_WP10,5.98463734040102,27.1191466265595,1.52991383,0.434343434343434,0.483361659388253,2.27564961596632,0.0619411542075296
KP0772_AC_WP10,63.1680527222232,71.4445746961845,1.7851264,NA,0.431125450800489,1.71931116992916,0.0328080555981312
KP0773_AC_WP10,82.6815948986285,61.5475667397254,1.4955148,NA,0.524135831904401,1.5662295184353,0.0773917202987986
KP0774_AC_WP10,46.4276480174685,25.6619284658318,1.64662431,NA,0.516870326310069,1.10679575686427,0.0209190731120371
KP0775_HU_WP10,43.7277828934684,23.4902629929349,1.84724893,NA,0.508147061621674,1.54514077752135,0.0246215184981497
KP0777_AC_WP10,15.4402514195066,33.819587106572,1.50094226,0.482758620689655,0.551319183430812,2.55637205603504,0.0817437498232369
KP0778_AC_WP10,41.7458132789203,70.5099240779754,2.77195124,NA,0.580978257854806,2.86783545003402,0.0813920089060075
KP0779_AC_WP10,75.3310657431629,15.8342558202168,2.66216986,0.0366537300560586,0.778583087708065,1.83812457344816,0.0850075023643497
