plot_name	sample_name	colony_points	mean_colony	low_colony	high_colony	mean_env	low_env	high_env	outcrop_prop
cur_cas_05m_20201212	KP0436_HU_CA05	94	-0.9433597333790468	-0.952983154489278	-0.9358818185505431	-1.0913401806410192	-1.356475067150074	-0.8864297304677374	0.8788840172032524
cur_cas_05m_20201212	KP0439_HU_CA05	197	-1.2651113495824466	-1.2799763012011651	-1.2501142472158304	-1.3365906192342298	-1.4776286969173036	-1.0707593566207774	0.5223233266482414
cur_cas_05m_20201212	KP0440_HU_CA05	1410	-1.1806572750841107	-1.2268247048204162	-1.151598444997616	-1.394047211091052	-1.5815644234108075	-1.147489108609201	0.9235889133892141
cur_cas_05m_20201212	KP0441_AC_CA05	390	-1.2227002676183736	-1.2474332826915098	-1.2044434907639157	-1.4165194991081063	-1.5815644234108075	-1.1510413643734472	0.8335538556165747
cur_cas_05m_20201212	KP0442_HU_CA05	243	-1.202586150586292	-1.218394055511695	-1.193198989752326	-1.3509275655232333	-1.598147908629206	-1.1787759447412791	0.943224135385035
cur_kal_10m_20200214	KP0739_HU_WP10	98	-0.9230194040368498	-0.9298770710921795	-0.9188959477727471	-0.9578199578289184	-1.2980380902854198	-0.7477467761836916	0.6814911968231487
cur_kal_10m_20200214	KP0740_HU_WP10	30	-1.158823312736085	-1.1680990428729539	-1.1515265152969572	-1.2448114591326844	-1.56463536853916	-0.9879168606434701	0.703657070559063
cur_kal_10m_20200214	KP0741_AC_WP10	9002	-1.1607046011752424	-1.212680112489266	-1.0992483372867854	-1.1661583123597923	-1.653358256774204	-0.8417728706809917	0.6070262772602207
cur_kal_10m_20200214	KP0742_AC_WP10	1829	-1.5023032591322634	-1.5463393544658763	-1.4752392864768273	-1.5459986542848203	-1.887119582021105	-1.2196777523056734	0.5765540991833112
cur_kal_10m_20200214	KP0743_AC_WP10	9124	-1.1309985622959537	-1.2006452562967531	-1.052756204182503	-1.166605242713688	-1.566275506755051	-0.8227030481625323	0.585386050046847
cur_kal_10m_20200214	KP0744_HU_WP10	96	-1.6064585693977964	-1.613077411357217	-1.5993373682555068	-1.6222698356678378	-1.964932428472961	-1.368836591363969	0.6013695059736177
cur_kal_10m_20200214	KP0745_AC_WP10	827	-1.4195037323008106	-1.4433199363046962	-1.3869390756887605	-1.3726226197660436	-1.758496852602307	-1.0017282139876873	0.447948161438184
cur_kal_10m_20200214	KP0746_AC_WP10	2386	-1.8550968747571162	-1.8719342136914014	-1.8175940456268802	-1.7413256359524352	-2.2107947069159715	-1.3953970394655761	0.4362262076013287
cur_kal_10m_20200214	KP0747_AC_WP10	1724	-1.6862034107683146	-1.7212412875062661	-1.6569211787745692	-1.5327273332253817	-1.9658943915435745	-1.280138749971542	0.4078580821210508
cur_kal_10m_20200214	KP0748_AC_WP10	213	-1.3109796448309432	-1.3230411446519017	-1.3007733117114775	-1.3103409639749766	-1.7275316514709753	-0.8956918433254403	0.5007598849695277
cur_kal_10m_20200214	KP0749_AC_WP10	6515	-1.1911794784958463	-1.3010726324056596	-1.0907933847388387	-1.349669568914824	-1.6712153065630928	-1.0524420860639818	0.775786365932325
cur_kal_10m_20200214	KP0750_AC_WP10	31	-0.9729353286658635	-0.9775816823828449	-0.968855639013501	-1.1698336881033033	-1.3783722231263587	-0.9616309899101837	0.9728744413687139
cur_kal_10m_20200214	KP0751_AC_WP10	953	-1.4984444140861517	-1.5329940841660339	-1.4697466439794946	-1.5218883689175713	-1.7871607768984112	-1.2420629409626402	0.5296597120342981
cur_kal_10m_20200214	KP0752_AC_WP10	37	-1.16160527520622	-1.1686241527194736	-1.1538733209835852	-1.266723974126163	-1.5725899767313578	-0.9616309899101837	0.67268787331126
cur_kal_10m_20200214	KP0753_AC_WP10	3680	-1.4515168007344477	-1.4944817749429657	-1.4175649080482495	-1.4074293544164778	-1.7053358309320683	-1.0109814663773327	0.36554682040543607
cur_kal_10m_20200214	KP0754_LM_WP10	12745	-1.9043111657318572	-2.023357105068216	-1.7006687552701214	-1.9302125733526558	-2.3177022892320966	-1.2989471815220268	0.4057806634505606
cur_kal_10m_20200214	KP0755_AC_WP10	10923	-0.5354724642267521	-0.6265412892990747	-0.4456621188757863	-0.6604051418996121	-1.0891240759317136	-0.19889347998951504	0.6219193254293737
cur_kal_10m_20200214	KP0756_AC_WP10	6210	-1.2707732081430052	-1.3841447925865606	-1.1670347376314543	-1.130349903150402	-1.6424034939303558	-0.7830968169112009	0.43247689762693015
cur_kal_10m_20200214	KP0757_AC_WP10	612	-0.36947467971649545	-0.4076353962059484	-0.3341333992577156	-0.49010040585560993	-0.8054695203583875	-0.08866097591683285	0.6082444803745516
cur_kal_10m_20200214	KP0758_AC_WP10	4973	-0.7411440127172176	-0.8147346872687371	-0.6681842842307758	-0.7565349673883931	-1.2437431751393024	-0.36875866163480187	0.5744092091516767
cur_kal_10m_20200214	KP0759_AC_WP10	1305	-0.8499535376474261	-0.8835855476873122	-0.811300063123188	-0.9177303949962655	-1.2952990618140996	-0.4949975298473526	0.5564721625263337
cur_kal_10m_20200214	KP0760_AC_WP10	9391	-0.5038220917472034	-0.5787504038950534	-0.40755323514929975	-0.5181817418640581	-0.9584820504813322	0.07124072574067829	0.4415362748430682
cur_kal_10m_20200214	KP0761_AC_WP10	1946	-0.3097761935434041	-0.37408126333113484	-0.238676337484892	-0.23531922011939713	-0.7761498978302249	0.14450916494681518	0.506565050128404
cur_kal_10m_20200214	KP0762_AC_WP10	3850	-0.09368870280676798	-0.16026974385472345	-0.011143167259805705	-0.15760846467030498	-0.5628593103873426	0.33855099836011804	0.5204850699261501
cur_kal_10m_20200214	KP0763_LM_WP10	10848	-1.1892370694356469	-1.3234149783603633	-1.038196073396668	-1.154135964020763	-1.7432433748442389	-0.6552286960857259	0.5091901021415859
cur_kal_10m_20200214	KP0764_HU_WP10	830	-0.7472110052515901	-0.7805839505612062	-0.7217209570154832	-0.722573028631241	-1.1828085716418166	-0.3223823543905921	0.5062578959783627
cur_kal_10m_20200214	KP0765_AC_WP10	1657	-0.09206511334511452	-0.13953181001781442	-0.05507243519711158	-0.045664827179562786	-0.5439205520984276	0.3248569086151066	0.5201049281161144
cur_kal_10m_20200214	KP0766_AC_WP10	3224	-0.3084098505451227	-0.37875335217685363	-0.24020558546275128	-0.2870852647679694	-0.7002093012808458	0.16540106191073697	0.45262795756178736
cur_kal_10m_20200214	KP0767_AC_WP10	3985	0.04662663075938339	0.007780337667465653	0.11441132213964753	0.07140688110274877	-0.38626495734844074	0.42087366946936855	0.5363286723304573
cur_kal_10m_20200214	KP0768_HU_WP10	332	-0.6137211785150068	-0.6399724880522153	-0.5933630089616813	-0.5842069249100231	-0.9986999648115451	-0.22242678986850598	0.49593210060979753
cur_kal_10m_20200214	KP0769_AC_WP10	79819	0.21019808644975266	-0.024028091590169106	0.4203157675543505	0.02704290384273025	-0.4081177041714898	0.4365273097638076	0.732042195739058
cur_kal_10m_20200214	KP0770_AC_WP10	73	0.10278540903187834	0.09068030646797903	0.11644053118056351	0.07253503129304821	-0.31193653225240486	0.4365273097638076	0.5540974967703248
cur_kal_10m_20200214	KP0771_AC_WP10	1282	-0.1797005183171611	-0.2128236014016468	-0.11898009254062517	-0.15477951431974263	-0.47032474924518286	0.2245433303654064	0.4182437493615916
cur_kal_10m_20200214	KP0772_AC_WP10	309	-0.2358055102367593	-0.2577782130433245	-0.22012236447661654	-0.2632856997187324	-0.6118437418059928	0.08951221708920859	0.5361588887924771
cur_kal_10m_20200214	KP0773_AC_WP10	2377	-0.2613251494944759	-0.31709570427349754	-0.21096371808203046	-0.29161470411958457	-0.7363171755296369	0.007303393672429654	0.6387559001290749
