X,colony_theta_xz,colony_psi_yz,colony_rugosity,overhang_prop,outcrop_prop,environment_rugosity,range
KP0342_LM_WP20,74.2968899384246,30.2201813290196,1.97067247,0.0534535164028928,0.416532941910757,2.08323628392391,0.239162946233837
KP0343_LM_WP20,34.6642758205584,8.9276694254491,1.48562945,0.0408491476358958,0.400114802376932,1.93887483679557,0.108261889231107
KP0344_LM_WP20,32.0053037033613,38.9131787947238,2.09784827,0.00230773668724399,0.538443566668083,2.09038251796666,0.27049294753679
KP0345_LM_WP20,76.7615647085426,72.0913145400917,1.71625377,0.00184299661287109,0.376378164490054,2.17868748961786,0.199093188452816
KP0346_AC_WP20,14.1588382246654,57.7323182731789,1.87704973,0.0016366612111293,0.501826664210163,1.94426600604767,0.0686711356479622
KP0347_AC_WP20,47.1628579603618,31.1100752079968,4.97630447,0.00453917505427275,0.576860112332823,1.84238399183528,0.125019597756518
KP0348_LM_WP20,54.865144605587,49.3253017651075,3.32960125,0.0119317737266255,0.508835068767752,2.0372477328614,0.236628159886535
KP0349_LM_WP20,37.3354697222034,0.614466119377457,3.11463235,0.00167344011475018,0.492287077325154,2.15126133251881,0.273026253546443
KP0350_LM_WP20,48.9436624977541,45.5130547663422,2.05319789,0.0238549174610556,0.3825172289587,1.98758744340113,0.382630162250117
KP0351_AC_WP20,73.0369836326316,82.4481072857674,2.53235959,0,0.639158324768363,2.35703612520277,0.0712840245792073
KP0352_AC_WP20,79.8224556149821,75.8474376143538,3.12767709,0,0.639251673174029,2.39452999684518,0.111048710378034
KP0353_AC_WP20,70.8213725332813,64.0152861629354,3.58937934,0,0.546220415766505,2.31895164540404,0.142079368242013
KP0354_AC_WP20,18.0429412145087,14.9131912488366,1.59765038,0.052896725440806,0.57006612068364,2.46328891679014,0.0309673170881076
KP0355_AC_WP20,77.3187883623439,70.322571126564,2.10347363,0.00271186440677966,0.83533875011237,2.10433596675536,0.0731189318184705
KP0356_AC_WP20,81.9524697868617,82.5313558082165,2.54776555,0,0.715080722504433,2.12508808354142,0.119492220454161
KP0357_AC_WP20,56.4363371654614,16.9783686696839,2.71305037,0,0.683689394418727,2.1023009994244,0.0830627957673488
