,x,y,z
KP0644_AC_SB20,12.685175319977175,-43.623627717886876,-3.5208998026937897
KP0646_AC_SB20,10.828334348618194,-42.09160420180842,-3.2532516146050616
KP0647_AC_SB20,-2.3672272528852947,-21.681581556486442,-9.637938148452331
KP0648_AC_SB20,11.541581020594776,-40.99106605443285,-3.709200784117259
KP0649_AC_SB20,1.683605951127889,-18.47157899559945,-9.283707126494072
KP0650_LM_SB20,13.72669567628641,-33.62157558606083,-1.4231177454568584
KP0651_AC_SB20,0.10132765119906717,-17.560824585325847,-9.864777294002938
KP0652_AC_SB20,9.732078826234813,-30.48141597168385,-3.7762166116292954
KP0654_AC_SB20,7.989941790452302,-28.50535773356026,-4.245168574507248
KP0655_LM_SB20,-5.294562585627702,-16.499370327712803,-14.441587519596547
KP0656_AC_SB20,9.774171372587796,-28.968668929308695,-3.6344812888578244
KP0657_LM_SB20,14.984409180758075,-79.68962419914703,-0.9069625563074588
KP0658_AC_SB20,11.97636433630038,-28.07683955618597,-3.9833673512524053
KP0659_LM_SB20,12.804403185267734,-79.1765561750734,-1.4017747752793284
KP0660_AC_SB20,12.73916438443018,-30.12620625174418,-2.9618045647046136
KP0661_AC_SB20,10.111167775803327,-74.53814200825327,-5.059159940201967
KP0662_AC_SB20,10.113097881208265,-22.183222151016174,0.8810444789761518
KP0663_AC_SB20,10.957388761096123,-72.41271059130838,-2.4531240870472626
KP0664_LM_SB20,5.761181324148308,-21.06422988493663,-8.083288295553361
KP0665_AC_SB20,12.003124905844004,-69.06266956326769,-0.7379809601127274
KP0666_LM_SB20,5.998520230461834,-18.58653071197108,-7.44467981479585
KP0668_AC_SB20,6.49518829419271,-15.553655982464239,-6.562383205957291
KP0670_LM_SB20,6.742904335779785,-14.114548526887845,-7.3764727202907485
KP0672_AC_SB20,2.4979517555868895,-14.60149551421827,-7.356529239404831
KP0674_AC_SB20,3.0639764365534194,-13.34109197379834,-7.086892226814854
KP0676_LM_SB20,21.133126944663132,-77.142969797353,2.9075982973138625
KP0678_AC_SB20,17.45889420536503,-75.60492689797131,-0.11671381685288651
KP0679_AC_SB20,25.45241198601498,-103.89929252444483,9.529748688389706
KP0680_LM_SB20,15.511298047577817,-70.92477207319268,-1.3770164340056557
KP0681_AC_SB20,24.236244934072577,-103.31966641492149,8.37663842274221
KP0682_LM_SB20,18.054713796792925,-71.83570073794215,1.024644012424412
KP0683_AC_SB20,26.115196551506884,-101.21950662281574,8.399677346936869
KP0684_LM_SB20,14.973161220027261,-77.50119094607051,-0.8485719995359347
KP0685_AC_SB20,18.940650669462627,-102.48641925862061,4.402892451647023
KP0686_AC_SB20,19.18107170822412,-57.53207284927517,3.428935683011213
KP0687_AC_SB20,20.795273851839227,-101.61410250650546,4.763626343613986
KP0688_AC_SB20,14.243914441544486,-56.780484306716964,1.1907153192373965
KP0689_AC_SB20,19.188293805164804,-99.13697663543772,5.049670711645941
KP0690_AC_SB20,11.692244483421046,-54.66327056605437,-0.0004392881434576168
KP0691_AC_SB20,19.063777908722088,-97.9002498315506,5.614443923596834
KP0692_AC_SB20,12.173586958075651,-60.355258063226884,-0.6623607289244919
KP0693_AC_SB20,18.580244242467053,-97.83652168560091,3.5960505500410385
