Individual,Species,Population,Site,Loc,Depth,V1,V2,V3,V4,V5,V6,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,Q.Clust5,Q.Clust6
KP0474_AC_WP20,AC,AC_WP20,WP20,WP,20,1.2996664,36.732368,0.72891642,5.363218431,-0.394603147,-2.579185706,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0477_AC_WP20,AC,AC_WP20,WP20,WP,20,15.8423914,-10.278377,1.50092894,-0.189971592,0.252339217,-0.100134123,1,0.902804,1e-05,1e-05,0.097148,1e-05,1.8e-05
KP0479_AC_WP20,AC,AC_WP20,WP20,WP,20,10.8105734,-7.637121,0.59886918,-0.084020016,0.365742174,-0.075648176,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0481_AC_WP20,AC,AC_WP20,WP20,WP,20,16.4076811,-10.28232,1.7470586,-0.224783808,0.014191375,-0.088618985,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0482_LM_WP20,LM,LM_WP20,WP20,WP,20,-48.2692926,-8.699841,0.31434526,-0.117049513,-4.809292212,-0.315508162,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0484_AC_WP20,AC,AC_WP20,WP20,WP,20,15.1632335,-9.720358,1.90889938,-0.238786531,0.200778202,-0.066074617,1,0.94382,1e-05,1e-05,0.05614,1e-05,1e-05
KP0485_AC_WP20,AC,AC_WP20,WP20,WP,20,16.8848437,-10.910751,1.71583507,-0.164347008,0.093652864,-0.212567649,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0487_AC_WP20,AC,AC_WP20,WP20,WP,20,16.6829901,-10.784347,1.7900627,-0.137371288,0.204405903,-0.241835824,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0489_AC_WP20,AC,AC_WP20,WP20,WP,20,16.3860482,-10.399379,0.74017817,-0.089980662,0.11764216,0.13182808,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0490_AC_WP20,AC,AC_WP20,WP20,WP,20,15.2868705,-10.139203,1.76640532,-0.209518047,0.174715699,0.105538411,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0494_AC_WP20,AC,AC_WP20,WP20,WP,20,15.4362634,-10.180816,1.35115937,-0.270821054,0.122207697,-0.141492661,1,0.99924,1e-05,1e-05,0.00072,1e-05,1e-05
KP0499_AC_WP20,AC,AC_WP20,WP20,WP,20,16.6042809,-10.54947,1.05529855,-0.034309302,0.164824727,-0.234476556,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0505_AC_WP20,AC,AC_WP20,WP20,WP,20,9.8716221,-6.384497,0.59453307,0.212839377,-0.237902494,0.076423644,1,0.987778,1e-05,1e-05,0.012182,1e-05,1e-05
KP0508_AC_WP20,AC,AC_WP20,WP20,WP,20,16.058259,-10.398146,1.052837,-0.276682042,-0.05786987,-0.083734109,1,0.999948,1e-05,1e-05,1e-05,1e-05,1.2e-05
KP0512_AC_WP20,AC,AC_WP20,WP20,WP,20,16.7482345,-10.937147,1.50273535,-0.218287568,0.054182306,-0.180198475,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0516_AC_WP20,AC,AC_WP20,WP20,WP,20,16.5194433,-10.549023,0.55862184,0.050668994,-0.003952215,-0.270700463,1,0.998093,1e-05,1e-05,0.001867,1e-05,1e-05
KP0521_AC_WP20,AC,AC_WP20,WP20,WP,20,15.9336631,-10.376664,0.88707651,-0.092008802,-0.101277887,-0.107469108,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0523_AC_WP20,AC,AC_WP20,WP20,WP,20,16.5450375,-10.588279,0.74709006,-0.115496866,0.143158098,-0.300459426,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0529_LM_WP20,LM,LM_WP20,WP20,WP,20,-12.1248173,-8.854827,0.41619919,-0.251982195,-2.738627626,-0.170742974,1,0.534843,0.465117,1e-05,1e-05,1e-05,1e-05
KP0530_AC_WP20,AC,AC_WP20,WP20,WP,20,16.3169021,-10.72193,1.62263476,-0.10995587,0.24575851,-0.363015654,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0532_AC_WP20,AC,AC_WP20,WP20,WP,20,16.3767924,-10.675512,0.80515765,-0.061745593,0.09932095,-0.143881244,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0533_AC_WP20,AC,AC_WP20,WP20,WP,20,15.6962182,-10.360167,1.35773623,-0.143241441,0.218011658,-0.211723913,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0535_AC_WP20,AC,AC_WP20,WP20,WP,20,16.4475879,-10.513537,1.86384827,-0.089759465,0.040726583,-0.131740505,1,0.999942,1e-05,1e-05,1e-05,1.8e-05,1e-05
KP0536_AC_WP20,AC,AC_WP20,WP20,WP,20,14.9787699,-10.066493,0.97048656,0.223629395,-0.235336745,-0.254524745,1,0.925404,1e-05,1e-05,0.074556,1e-05,1e-05
KP0537_AC_WP20,AC,AC_WP20,WP20,WP,20,16.722731,-11.006135,1.76421526,-0.129513143,0.054570851,-0.285513757,1,0.958926,1e-05,1e-05,0.041034,1e-05,1e-05
KP0540_AC_WP20,AC,AC_WP20,WP20,WP,20,1.2344522,37.225567,0.69805411,3.377288033,-0.383583543,-1.601570401,3,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05
KP0545_AC_WP20,AC,AC_WP20,WP20,WP,20,15.6960806,-10.223858,1.27605132,-0.100539621,0.325831571,-0.189270827,1,0.999947,1e-05,1e-05,1e-05,1e-05,1.3e-05
KP0546_AC_WP20,AC,AC_WP20,WP20,WP,20,16.4444391,-10.631034,1.37980227,-0.159469094,0.085291751,-0.268217261,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0547_LM_WP20,LM,LM_WP20,WP20,WP,20,-49.880292,-8.667406,-0.60532963,0.923496773,10.32240661,0.083897808,5,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05
KP0548_LM_WP20,LM,LM_WP20,WP20,WP,20,-49.7303232,-8.62618,-0.3655573,1.044422859,10.72574194,0.234460654,5,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05
KP0551_LM_WP20,LM,LM_WP20,WP20,WP,20,-51.1707322,-9.197325,0.31342604,-0.439397093,-5.432885683,0.110318508,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0554_AC_WP20,AC,AC_WP20,WP20,WP,20,16.2237317,-10.591897,1.36924057,-0.188562307,0.115584783,-0.199128117,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0558_LM_WP20,LM,LM_WP20,WP20,WP,20,-51.3803251,-9.032976,0.30343252,-0.35093833,-3.996052875,-0.0584622,2,1e-05,0.998662,1e-05,1e-05,0.001298,1e-05
KP0559_AC_WP20,AC,AC_WP20,WP20,WP,20,11.8076408,-7.438021,-12.15614692,1.293401701,-0.755386958,0.176677695,4,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
KP0563_AC_WP20,AC,AC_WP20,WP20,WP,20,15.4321066,-9.427998,-13.93107565,1.337244696,-1.051760719,-0.144924212,4,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
KP0568_AC_WP20,AC,AC_WP20,WP20,WP,20,16.2757774,-10.187004,1.10994073,-0.055977286,0.010760023,-0.295548406,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0569_AC_WP20,AC,AC_WP20,WP20,WP,20,15.5641023,-9.253738,-15.26450606,1.610896743,-1.098433972,-0.063059099,4,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
KP0570_LM_WP20,LM,LM_WP20,WP20,WP,20,-51.610768,-9.303843,0.46044188,-0.65370687,-5.596407197,0.045576674,2,1e-05,0.961409,1e-05,1e-05,0.038548,1.3e-05
KP0571_AC_WP20,AC,AC_WP20,WP20,WP,20,16.5293282,-10.828159,2.12669632,-0.230834689,0.105897902,0.050250487,1,0.921506,1e-05,1e-05,0.078454,1e-05,1e-05
KP0572_AC_WP20,AC,AC_WP20,WP20,WP,20,16.3259471,-10.396509,1.23592633,-0.098900502,0.118992137,-0.31145512,1,0.908975,1e-05,1e-05,0.090978,1e-05,1.7e-05
KP0576_AC_WP20,AC,AC_WP20,WP20,WP,20,15.4887084,-9.569006,-14.13436655,1.422689591,-0.996562888,-0.117748688,4,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
KP0579_AC_WP20,AC,AC_WP20,WP20,WP,20,11.1808337,-7.993575,1.27807093,-0.111363314,0.258448267,0.055610216,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0582_AC_WP20,AC,AC_WP20,WP20,WP,20,1.2226383,37.676445,0.5316145,3.860838902,-0.399951074,-0.125253114,3,1e-05,1e-05,0.996022,1e-05,1e-05,0.003938
KP0585_LM_WP20,LM,LM_WP20,WP20,WP,20,-50.0009723,-9.923144,0.40347467,-0.527951717,-5.154028136,0.025512601,2,0.00987,0.917737,1e-05,1e-05,0.072362,1.1e-05
KP0588_LM_WP20,LM,LM_WP20,WP20,WP,20,-49.4966602,-8.738963,-0.6151678,0.835654497,9.801560847,0.187445106,5,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05
KP0590_AC_WP20,AC,AC_WP20,WP20,WP,20,15.5744831,-9.426447,-15.06934755,1.544900992,-1.089084727,-0.100894153,4,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
KP0593_AC_SB20,AC,AC_SB20,SB20,SB,20,12.5211842,-8.686129,1.01679994,-0.10660935,0.156361708,0.36674744,1,0.94425,1e-05,1e-05,0.05571,1e-05,1e-05
KP0596_AC_SB20,AC,AC_SB20,SB20,SB,20,15.8134373,-10.065991,1.47102518,-0.125281842,-0.02114548,0.087782309,1,0.985736,1e-05,1e-05,0.014224,1e-05,1e-05
KP0599_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.9086691,-9.375312,0.61002619,-0.496441457,-5.072063181,0.146506924,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0600_AC_SB20,AC,AC_SB20,SB20,SB,20,16.5397265,-10.600039,1.17560565,-0.235270525,0.095526105,0.176582091,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0604_AC_SB20,AC,AC_SB20,SB20,SB,20,16.5820149,-10.462492,1.06384264,-0.091013776,-0.07985998,0.155101294,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0605_AC_SB20,AC,AC_SB20,SB20,SB,20,-50.4646521,-9.028967,0.36247047,-0.245364502,-3.916376811,-0.454964223,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0607_AC_SB20,AC,AC_SB20,SB20,SB,20,15.4881447,-9.193141,-14.35355658,1.492387671,-0.891250118,-0.002478063,4,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
KP0608_AC_SB20,AC,AC_SB20,SB20,SB,20,16.4272276,-10.637334,1.16408339,-0.045296107,-0.022738298,-0.187453463,1,0.910729,1e-05,1e-05,0.089231,1e-05,1e-05
KP0609_AC_SB20,AC,AC_SB20,SB20,SB,20,-50.2470807,-8.942399,0.73773889,-0.560954444,-5.582843969,-0.092990009,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0611_LM_SB20,LM,LM_SB20,SB20,SB,20,14.7109826,-9.8122,1.18664962,-0.119272392,0.391198436,0.039706224,1,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
KP0613_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.8297779,-9.223242,0.38432624,-0.525903969,-5.063815251,0.08987693,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0614_LM_SB20,LM,LM_SB20,SB20,SB,20,-50.8506388,-8.759877,0.09614643,-0.397602806,-5.14287519,0.021322316,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0616_LM_SB20,LM,LM_SB20,SB20,SB,20,-49.1963717,-8.88257,0.05370729,-0.440658571,-4.967161019,0.055924065,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05
KP0617_LM_SB20,LM,LM_SB20,SB20,SB,20,-51.6521896,-9.115656,0.53607148,-0.399615157,-5.319433062,-0.146003015,2,1e-05,0.970967,1e-05,1e-05,0.028993,1e-05
