	x	y	z
KP0746_AC_WP10	-0.166005053	-0.327421912	-1.861553138
KP0747_AC_WP10	-0.136000536	-1.912897334	-1.685516654
KP0748_AC_WP10	-1.427461412	-0.673455787	-1.303010806
KP0749_AC_WP10	-0.5865265	-1.506917096	-1.199246513
KP0750_AC_WP10	-1.608149935	-0.316427404	-0.968868595
KP0751_AC_WP10	-0.685595358	-2.025572822	-1.495936951
KP0752_AC_WP10	-1.621069898	-0.357482765	-1.162402051
KP0753_AC_WP10_X	-1.837527666	-2.2896712	-1.445387535
KP0754_LM_WP10	-3.535808413	0.274283692	-1.846193979
KP0755_AC_WP10	-2.244128618	-2.171670111	-0.530347408
KP0756_AC_WP10	-3.109330564	0.04947546	-1.269009495
KP0757_AC_WP10	-2.551066552	-2.163052036	-0.358363397
KP0758_AC_WP10	-3.227382016	0.31082175	-0.747670364
KP0759_AC_WP10	-2.735939689	-1.692101205	-0.836612134
KP0760_AC_WP10	-3.443024827	0.348874657	-0.456126428
KP0761_AC_WP20	-3.700484315	-0.378756608	-0.29799375
KP0762_AC_WP10	-3.629974039	0.408241516	-0.087607468
KP0763_LM_WP10	-4.592797834	-0.840125745	-1.19403422
KP0764_HU_WP10	-3.374736516	0.699946421	-0.745386882
KP0765_AC_WP10	-3.775731593	-0.237569613	-0.083063738
KP0766_AC_WP10	-3.882404348	0.524505218	-0.312838935
KP0767_AC_WP10	-4.013560223	-0.062397843	0.049890491
KP0768_HU_WP10	-3.679497948	0.752340659	-0.615319394
KP0769_AC_WP10	-4.055713207	0.011060099	0.27640984
KP0770_AC_WP10	-3.867903468	0.404994583	0.103215713
KP0771_AC_WP10	-4.458124217	-0.077664846	-0.157317297
KP0772_AC_WP10	-4.078422412	0.778533972	-0.228596743
KP0773_AC_WP10	-4.978525036	-0.362602398	-0.260828114
KP0774_AC_WP10	-3.998067686	0.911371914	-0.516345596
KP0775_HU_WP10	-4.367781709	-0.259547291	-0.263996142
KP0777_AC_WP10	-3.127707985	-1.457016568	-0.927643685
KP0778_AC_WP10	5.933161641	-0.403178985	-2.066634583
KP0779_AC_WP10	-3.457847396	-1.653390238	-0.950020563
KP0780_AC_WP10	5.700932579	-0.542993855	-2.096958998
KP0781_AC_WP10	-3.390427593	-1.201680907	-1.179019604
KP0782_AC_WP10	5.231210507	-0.497431596	-1.79379046
KP0783_HU_WP10	-3.51782415	-0.034798802	-0.10992605
KP0784_AC_WP10	5.478592229	-0.48599212	-2.023798628
KP0785_AC_WP10	-3.81405308	0.20049789	0.178913201
KP0786_HU_WP10	5.631806038	-0.113958033	-2.200630199
KP0787_AC_WP10	6.035138328	-0.777404	-2.098312498
KP0788_AC_WP10	5.336967703	-0.389567396	-1.88117489
KP0789_HU_WP10	5.837114737	-0.677412413	-2.035699806
KP0790_AC_WP10	5.574482325	-0.323823559	-2.096675063
KP0791_AC_WP10	5.524291354	-1.22121276	-2.031326741
KP0792_AC_WP10	5.102994945	0.169651342	-1.859670541
KP0793_AC_WP10	5.459760237	-1.264741852	-2.315423158
KP0794_AC_WP10	5.069669825	-0.244621007	-1.900832376
KP0795_LM_WP10	5.075475129	-1.430622263	-2.392715952
KP0796_AC_WP10_X	4.827032795	-0.352204731	-1.889337675
KP0797_AC_WP10	5.182903123	-1.262184789	-2.281366135
KP0798_HU_WP10_X	4.901466915	-0.350369583	-1.831433075
KP0799_AC_WP10	5.126250088	-1.062980203	-1.984501109
KP0800-X_AC_WP10	4.796847712	-0.476959469	-1.739561614
KP0800_AC_WP10	4.943034285	-0.352956737	-1.757530088
KP0801_AC_WP10	4.95290653	-0.868775819	-1.88882865
KP0802_AC_WP10	4.750868913	-0.558639357	-1.88614192
KP0803_HU_WP10	4.953214915	-1.472469718	-2.290657603
KP0804_AC_WP10	4.673220525	-0.554962695	-1.87307341
KP0805_HU_WP10	4.554279949	-1.290140608	-1.933240822
KP0806_AC_WP10	4.56754138	-0.352731029	-1.936194417
KP0807_AC_WP10	4.454999969	-1.089503334	-1.719817609
KP0808_AC_WP10	4.493690083	-0.171244248	-1.924198743
KP0809_AC_WP10	4.526919032	-1.537861931	-1.803171037
KP0810_AC_WP10	4.323124704	-0.535745508	-2.027491582
KP0811_AC_WP10	4.242137784	-0.980146679	-1.920829154
KP0812_AC_WP10	4.146716787	-0.687934737	-1.909612285
KP0813_AC_WP10	4.012832128	-1.380431006	-2.002702082
KP0814_HU_WP10_X	4.26110172	-0.338488067	-1.82801054
KP0815_AC_WP10	4.232357741	-1.724227661	-2.048861545
KP0816_AC_WP10	4.172007313	-0.721801801	-2.258495829
KP0817_AC_WP10	2.453452851	-1.294477371	-1.716244509
KP0819_AC_WP10	2.390309364	-1.593694304	-2.099149633
KP0820_AC_WP10	2.418099303	-0.91614649	-1.528049313
KP0821_AC_WP10_X	12.36194194	-0.708163479	-2.339530046
KP0823_AC_WP10	10.24584587	-1.314265998	-2.767720541
KP0824_AC_WP10	11.73842812	-0.462055192	-3.159812062
KP0825_AC_WP10	9.831456271	-2.244223501	-3.02857324
KP0827_AC_WP10_X	9.824217659	-2.232021779	-2.483031143
KP0829_HU_WP10_X	9.774578168	-2.219418134	-2.559138322
KP0831_HU_WP10	9.724922961	-2.23813424	-2.689218246
KP0833_AC_WP10	9.733467384	-2.18352053	-2.77070232
KP0835_AC_WP10	9.674337819	-2.046811902	-2.968911328
KP0837_AC_WP10	9.225846072	-2.153187503	-2.417783021
KP0839_HU_WP10_X	9.574784961	-2.09184297	-2.093612847
KP0841_AC_WP10_X	9.449883299	-2.211617758	-2.013436491
KP0845_AC_WP10	9.318145642	-2.192882327	-2.008850788
KP0847_AC_WP10_X	9.065164036	-2.347230881	-2.273443264
KP0849_AC_WP10	8.946104496	-2.093153455	-2.898172148
KP0851_AC_WP10	8.625396805	-1.695561404	-2.898916474
KP0853_AC_WP10	8.534252019	-1.662284744	-2.816370268
KP0855_AC_WP10	8.273195937	-1.414006906	-2.594083635
KP0857_AC_WP10	7.96773733	-1.140772755	-2.441951738
KP0859_HU_WP10	7.712005985	-1.415401819	-2.132068141
KP0861_AC_WP10	7.659492625	-1.424008333	-2.300990619
KP0863_AC_WP10	7.451776597	-1.073118729	-2.41421051
KP0879_AC_WP10	15.33871818	-1.400058747	-3.756243916
KP0881_AC_WP10	14.77654791	-1.356989112	-3.633762269
KP0883_AC_WP10	14.62896983	-1.13105717	-3.398200153
KP0885_AC_WP10	14.42680585	-0.883738743	-3.103319255
KP0887_AC_WP10	14.19973713	-1.056981014	-3.511644228
