X,x,y,z
KP0744_HU_WP10,0.0981754273030218,0.0276731447716921,-1.60416854524242
KP0745_AC_WP10,1.76689397160533,0.276795131354518,-1.42560604346801
KP0746_AC_WP10,0.327421918835474,-0.166005038628754,-1.86155313766047
KP0747_AC_WP10,1.91289734017444,-0.136000452738633,-1.6855166538666
KP0748_AC_WP10,0.673455849467734,-1.42746138288169,-1.30301080553606
KP0749_AC_WP10,1.50691712186414,-0.586526434141461,-1.19924651310669
KP0750_AC_WP10,0.316427474431064,-1.60814992156034,-0.968868594675874
KP0751_AC_WP10,2.02557285242578,-0.685595269738697,-1.49593695052393
KP0752_AC_WP10,0.357482835631321,-1.62106988200392,-1.16240205052279
KP0753_AC_WP10,2.28967128042356,-1.83752756612148,-1.44538753519176
KP0754_LM_WP10,-0.274283537862553,-3.53580842469665,-1.84619397949838
KP0755_AC_WP10,2.1716702094419,-2.24412852271792,-0.530347407833646
KP0756_AC_WP10,-0.0494753240430014,-3.10933056646661,-1.269009495008
KP0757_AC_WP10,2.16305214792504,-2.55106645749544,-0.35836339738539
KP0758_AC_WP10,-0.310821608623895,-3.22738202947407,-0.74767036402083
KP0759_AC_WP10,1.69210132482062,-2.73593961468921,-0.836612133731111
KP0760_AC_WP10,-0.34887450603217,-3.44302484177293,-0.456126427694291
KP0761_AC_WP10,0.395060948278301,-3.66601332915417,-0.313767538219303
KP0762_AC_WP10,-0.4082413577387,-3.62997405696231,-0.0876074682048242
KP0763_LM_WP10,0.840125945407179,-4.59279779742242,-1.19403422028749
KP0764_HU_WP10,-0.699946273499091,-3.37473654634378,-0.745386881585188
KP0765_AC_WP10,0.237569777645862,-3.77573158226958,-0.0830637383329149
KP0766_AC_WP10,-0.524505048387301,-3.88240437119012,-0.31283893455173
KP0767_AC_WP10,0.0623980185548054,-4.01356021990894,0.0498904907578172
KP0768_HU_WP10,-0.752340498143576,-3.67949798079659,-0.615319393796544
KP0769_AC_WP10,-0.0110599213564489,-4.05571320766549,0.276409840047592
KP0770_AC_WP10,-0.40499441408506,-3.86790348565465,0.103215712656758
KP0771_AC_WP10,0.0776650405628724,-4.45812421368004,-0.157317296765258
KP0772_AC_WP10,-0.778533793267572,-4.07842244634252,-0.228596743034884
KP0773_AC_WP10,0.362602615850298,-4.9785250202375,-0.260828114482689
KP0774_AC_WP10,-0.911371739258872,-3.99806772617422,-0.516345595667251
KP0775_HU_WP10,0.259547482152054,-4.3677816976246,-0.263996141890573
KP0777_AC_WP10,1.45701670453671,-3.12770792139138,-0.927643684551257
KP0778_AC_WP10,0.403178725412327,5.93316165909941,-2.06663458298856
KP0779_AC_WP10,1.65339038959717,-3.45784732375676,-0.950020562933543
KP0780_AC_WP10,0.542993605965522,5.70093260314131,-2.09695899828842
KP0781_AC_WP10,1.20168105560844,-3.39042754011596,-1.17901960405301
KP0782_AC_WP10,0.497431367702039,5.23121052844529,-1.79379046033325
KP0783_HU_WP10,0.0347989555891679,-3.51782414820938,-0.109926049669103
KP0784_AC_WP10,0.485991880533595,5.47859225064482,-2.02379862809937
KP0785_AC_WP10,-0.200497723204239,-3.8140530888779,0.178913201052065
KP0786_HU_WP10,0.113957786506996,5.63180604340303,-2.20063019948958
KP0787_AC_WP10,0.777403736362856,6.03513836171457,-2.09831249831395
