plot_name	sample_name	colony_points	colony_threeD_area	rot_colony_twoD_area	colony_rugosity	env_points	env_threeD_area	env_twoD_area	env_rugosity
cur_kal_20m_20200214	KP0337_AC_WP20	1317	0.0061344926990542685	0.004511318868173587	1.3598002886321856	122274	0.8418218902903185	0.4521071249486799	1.8619965132951097
cur_kal_20m_20200214	KP0338_AC_WP20	6595	0.030746854924936014	0.021382743799757336	1.4379284161504544	165758	1.1387674580830427	0.6481606642569224	1.7569215796033715
cur_kal_20m_20200214	KP0339_AC_WP20	339	0.0028050025295310076	0.0017342133667172996	1.6174494922966773	134192	0.9433556679933508	0.4674986495242818	2.0178789157001686
cur_kal_20m_20200214	KP0340_AC_WP20	7433	0.05218968675838589	0.042063193928266365	1.240744743430302	230138	1.6160641577823802	0.8116201853791449	1.9911581635040814
cur_kal_20m_20200214	KP0341_LM_WP20	5321	0.027488876931974326	0.029019334370396617	1	171224	1.270004839690819	0.7510594918273381	1.6909510544908761
cur_kal_20m_20200214	KP0342_LM_WP20	24461	0.07582629271479216	0.07021123904382183	1.079973715710468	347041	2.49987982581059	1.2005060259304248	2.0823550834516764
cur_kal_20m_20200214	KP0343_LM_WP20	5373	0.036507233321910214	0.030633447231973702	1.1917442083960352	202136	1.4818322098995504	0.7641295855267278	1.9392420316746377
cur_kal_20m_20200214	KP0344_LM_WP20	48265	0.21804492559789687	0.17164337889554948	1.2703369451296123	319435	2.387592428060959	1.277297892723683	1.869252616529185
cur_kal_20m_20200214	KP0345_LM_WP20	23718	0.15364271354772546	0.09904467374875332	1.5512466014827917	318372	2.2804968129001497	1.07141226456344	2.128496087198858
cur_kal_20m_20200214	KP0346_AC_WP20	2434	0.016365540379005655	0.007707594522736091	2.1233006394835767	156857	1.153566114117411	0.6261468500718733	1.8423251893465518
cur_kal_20m_20200214	KP0347_AC_WP20	5399	0.04063708119220428	0.038915370571344296	1.0442424316043333	170342	1.273552879361538	0.761555763173661	1.6723041712063362
cur_kal_20m_20200214	KP0348_LM_WP20	29970	0.20691899518484705	0.16353838298962908	1.2652625726277908	283756	2.1606370028483624	1.1920855119554412	1.812484910838447
cur_kal_20m_20200214	KP0349_LM_WP20	48636	0.3184942731196413	0.22243541591880653	1.4318505522335445	334216	2.5638265910639775	1.2999684174945398	1.972222214448334
cur_kal_20m_20200214	KP0350_LM_WP20	90064	0.45736870697315574	0.375200433855129	1.218998342495929	472540	3.526374754844801	1.8421716696072405	1.91424871689436
