plot_name	sample_name	colony_points	mean_colony	low_colony	high_colony	mean_env	low_env	high_env	outcrop_prop
cur_kal_20m_20200214	KP0328_LM_WP20	2580	-0.653170934488624	-0.6849298795319541	-0.6144133931685815	-0.5981712360379783	-1.0972584231494067	-0.2543395327432128	0.5268448645714673
cur_kal_20m_20200214	KP0329_AC_WP20	5517	-0.6804766309295645	-0.7453984231474586	-0.609131402847096	-0.6917280373012248	-1.1755629791151943	-0.28492686012766194	0.5558794861682006
cur_kal_20m_20200214	KP0330_LM_WP20	10801	-0.8527151262051874	-0.9342656020798917	-0.8071784932038145	-0.8656780094021109	-1.3052981850537173	-0.5414712972987595	0.5925204599418638
cur_kal_20m_20200214	KP0331_AC_WP20	3887	-1.1045351802651504	-1.1691525547709616	-1.0609320711674253	-1.0612308128926715	-1.5596757714645562	-0.6982310803332159	0.5283456917026988
cur_kal_20m_20200214	KP0332_AC_WP20	3836	-0.99799311997739	-1.063981305790104	-0.946122475463276	-1.0507731371714746	-1.4726392290765427	-0.7503289253396996	0.6571221629313472
cur_kal_20m_20200214	KP0333_AC_WP20	269	-0.9677120825264571	-0.9821911288529119	-0.9544110818193224	-1.0594378998477287	-1.3837333708287571	-0.7547870830491099	0.6614575781518152
cur_kal_20m_20200214	KP0334_AC_WP20	2638	-1.0552603956318323	-1.1047462729911497	-0.9995712435082184	-1.0941657476164317	-1.4705783734028008	-0.7806331367768397	0.6019578884289395
cur_kal_20m_20200214	KP0335_AC_WP20	692	-0.6422020352046807	-0.6705037229295499	-0.6186860040508041	-0.8068863795467128	-1.0531285480252948	-0.5647065627343821	0.8413350037383331
cur_kal_20m_20200214	KP0336_AC_WP20	1282	-0.6406787520321192	-0.6718590908574422	-0.6182093409661387	-0.8006085729808391	-1.048974808531312	-0.5647065627343821	0.8431196140628333
cur_kal_20m_20200214	KP0337_AC_WP20	1317	-0.6551914492452331	-0.6910195358643627	-0.6275312440117583	-0.8177230992620204	-1.0675727261559451	-0.5647065627343821	0.8200616921703765
cur_kal_20m_20200214	KP0338_AC_WP20	6595	-0.7353570119578957	-0.8496775014456703	-0.6336173589743023	-0.9031393328744016	-1.2498144632559753	-0.5792059408890882	0.7671501839587748
cur_kal_20m_20200214	KP0339_AC_WP20	339	-0.9860579755934215	-1.0103295664785923	-0.9618580453803207	-0.9940430608908037	-1.4081627511709693	-0.6294963617827385	0.5420868055049607
cur_kal_20m_20200214	KP0340_AC_WP20	7433	-1.0302120414465192	-1.1623817401684686	-0.9494813507444202	-1.0913884454598113	-1.5653760660528437	-0.62744150984511	0.5705771485487271
cur_kal_20m_20200214	KP0341_LM_WP20	5321	-1.4869059405966512	-1.5823896726566995	-1.4008374999712485	-1.4318417381725876	-1.7960183717156946	-0.9880039267922727	0.38255805086298794
cur_kal_20m_20200214	KP0342_LM_WP20	24461	-1.5138563369942226	-1.660410448024332	-1.3166760455738926	-1.4454067992088693	-1.9193111598821908	-0.9199033407871465	0.4056950677603306
cur_kal_20m_20200214	KP0343_LM_WP20	5373	-1.4203284538038856	-1.5185000040697558	-1.3356630482960834	-1.404437381540873	-1.7388166233979485	-0.9520924363687995	0.40482824202564216
cur_kal_20m_20200214	KP0344_LM_WP20	48265	-1.5004242883620242	-1.72461473888588	-1.342933675022842	-1.6044155212655422	-2.1049050620006944	-1.0402493060792204	0.5677711037362343
cur_kal_20m_20200214	KP0345_LM_WP20	23718	-1.4624506063273142	-1.6331194650560423	-1.266945538184857	-1.469436305303495	-1.7818623041871302	-0.9323256565419111	0.375983424311564
cur_kal_20m_20200214	KP0346_AC_WP20	2434	-1.4412008246472956	-1.482938452274022	-1.3854653450823247	-1.4922633028834666	-1.7582584587756176	-1.1288608037000794	0.5037477206524861
cur_kal_20m_20200214	KP0347_AC_WP20	5399	-1.7043059863097443	-1.801155938555592	-1.613443323042325	-1.7620137813655854	-2.168736705210584	-1.3613387291600179	0.5752190774277507
cur_kal_20m_20200214	KP0348_LM_WP20	29970	-1.7182806600255316	-1.9368216871118662	-1.542832853290256	-1.715367600969613	-2.2112919760475647	-1.2139802881608355	0.49434025692279604
cur_kal_20m_20200214	KP0349_LM_WP20	48636	-1.6778945443103803	-1.8769731330316262	-1.5214118464929085	-1.6584208120726112	-2.2112919760475647	-1.1469848663028315	0.501168719868005
cur_kal_20m_20200214	KP0350_LM_WP20	90064	-1.9092421801781405	-2.186956850055735	-1.5689509393416987	-1.856137749592743	-2.321775765191074	-1.2517847032957785	0.38554862718404864
cur_kal_20m_20200214	KP0351_AC_WP20	2322	-1.3051637725937366	-1.3481190551023357	-1.2700973709761483	-1.405014488399283	-1.7501727770788975	-1.057152832092981	0.6421301547016867
cur_kal_20m_20200214	KP0352_AC_WP20	10435	-1.3242626747220958	-1.418004379734497	-1.2521936429699247	-1.4537032888997772	-1.8212223496762903	-1.057152832092981	0.6504115967432363
cur_kal_20m_20200214	KP0353_AC_WP20	9399	-1.2987314365561808	-1.3755783924565463	-1.228782590175559	-1.340829490921377	-1.779474405482046	-0.9180478781070929	0.5580777392482275
cur_kal_20m_20200214	KP0354_AC_WP20	365	-1.370909356264675	-1.3824701514412583	-1.3612699425505461	-1.3971796085501071	-1.7920921323875592	-1.057152832092981	0.5730851186677128
cur_kal_20m_20200214	KP0355_AC_WP20	3307	-1.11476144753359	-1.1835357712034515	-1.0464912463402112	-1.2773635196284427	-1.5841984976616106	-1.016802621661047	0.8273536519809923
cur_kal_20m_20200214	KP0356_AC_WP20	7438	-0.8309239535164787	-0.9184974130822341	-0.7278486529296719	-0.9628287752039832	-1.3186475497565566	-0.6260498518037435	0.7041946539552412
cur_kal_20m_20200214	KP0357_AC_WP20	2670	-0.8730311215962294	-0.9169140660621988	-0.8372314087297266	-0.9846739332871206	-1.3195616410704956	-0.6686922098504076	0.6860523755697389
cur_kal_20m_20200214	KP0358_AC_WP20	43177	-0.8424317964729686	-1.0132044580536304	-0.6373479588046067	-0.9504341081312805	-1.4234847170888403	-0.4740173468612578	0.6119777665203979
cur_kal_20m_20200214	KP0359_AC_WP20	1053	-0.7778295004272822	-0.8030051895535102	-0.7528865339344775	-0.8740011412471935	-1.1609884357800166	-0.5348902138380576	0.6119789546188079
cur_kal_20m_20200214	KP0360_AC_WP20	953	-0.8303217913048898	-0.8570597153583239	-0.8051135044183665	-0.9366515941015668	-1.2188975705603944	-0.6238706350368517	0.6530389736283296
cur_kal_20m_20200214	KP0361_AC_WP20	919	-0.8419389402075462	-0.8700798080631069	-0.8124897595167033	-0.9486216199236127	-1.2168459916681782	-0.6286660393625984	0.6374019549477178
cur_kal_20m_20200214	KP0362_AC_WP20	847	-0.832177409434975	-0.8607444717725898	-0.8062972296037212	-0.9041227730448318	-1.2204020891973582	-0.5193290138788217	0.5537577942013978
cur_kal_20m_20200214	KP0363_AC_WP20	4088	-0.9847047079740227	-1.032292461029825	-0.9393342438919622	-0.9781775748798752	-1.342763041816719	-0.5985743139864913	0.48113915254623474
cur_kal_20m_20200214	KP0364_AC_WP20	12163	-0.577983678184157	-0.6513251031040871	-0.5087681027960489	-0.7844407164214382	-1.0540235735456065	-0.47292436874368216	0.8192058970786482
cur_kal_20m_20200214	KP0365_AC_WP20	841	-0.6488599544426402	-0.6813125527495678	-0.6136292029107265	-0.782357943093153	-1.028836365193765	-0.47292436874368216	0.6835189979305369
cur_kal_20m_20200214	KP0366_AC_WP20	113	-0.7142571407704802	-0.7214138216858041	-0.7073576089681545	-0.8002390822608543	-1.1049864141455321	-0.47292436874368216	0.6181818323336209
cur_kal_20m_20200214	KP0367_AC_WP20	1354	-0.535663990597058	-0.572084772457733	-0.4980087492715215	-0.7348572613750332	-0.9725140430584369	-0.47292436874368216	0.8744176970041854
cur_kal_20m_20200214	KP0368_AC_WP20	926	-0.7891579794075667	-0.8148025064572781	-0.7585358659155466	-0.8596105789289417	-1.192944615558701	-0.49869485544537695	0.581615809395776
cur_kal_20m_20200214	KP0369_AC_WP20	5984	-0.8737359625327333	-0.9542390256019189	-0.8017012918217242	-0.895627293622784	-1.3294122389644274	-0.47292436874368216	0.5320288731167334
cur_kal_20m_20200214	KP0370_AC_WP20	10546	-1.1015272153790765	-1.1782550278167174	-1.0335672514898637	-1.0686530070033975	-1.622278122231157	-0.6193326119911281	0.5192215345053516
cur_kal_20m_20200214	KP0371_AC_WP20	359	-0.9357812673512355	-0.9686770994300301	-0.9093231064864963	-0.975806474506777	-1.305042775167108	-0.5942391412873086	0.5194986213004035
cur_kal_20m_20200214	KP0372_AC_WP20	20313	-0.8424738158768771	-0.9817984318843246	-0.6977819453608325	-0.9702256979157803	-1.260728450850618	-0.5078929282160171	0.5555723958269522
cur_kal_20m_20200214	KP0373_AC_WP20	794	-0.8479848551579099	-0.8833540387129797	-0.8073143907792314	-0.8684796182148317	-1.2504705363970254	-0.47292436874368216	0.517635734034712
cur_kal_20m_20200214	KP0374_AC_WP20	12805	-1.822443542694852	-1.8854680205140268	-1.7588960721044575	-1.878379399278059	-2.16003606288439	-1.4167361514001013	0.4541807619960598
cur_kal_20m_20200214	KP0375_LM_WP20	8512	-1.7652257896221473	-1.877238297257633	-1.6872118047298719	-1.7328765428424016	-2.076352363606307	-1.3385837836262218	0.4217129631524264
cur_kal_20m_20200214	KP0376_LM_WP20	8864	-1.829117290982991	-1.8973451802680135	-1.7144784722301234	-1.7590783359813427	-2.0334628900413945	-1.3989979550687097	0.32207548092031457
cur_kal_20m_20200214	KP0377_LM_WP20	23956	-1.5482691685348788	-1.7036955661977713	-1.382114889503355	-1.6633487557856688	-1.957489632470248	-1.1589106823010447	0.5124358259739545
cur_kal_20m_20200214	KP0378_AC_WP20	277	-1.5078523747761052	-1.5249505711091043	-1.4896738816593162	-1.6917578318995525	-1.9114180366637996	-1.3486257641913524	0.71707747534407
cur_kal_20m_20200214	KP0379_AC_WP20	20	-1.6925031186781545	-1.6953390300745248	-1.6901460594410425	-1.7248656933031377	-1.9468324735612337	-1.44337632840206	0.5051668498408534
cur_kal_20m_20200214	KP0380_LM_WP20	4204	-1.8355636441756962	-1.8823030888114847	-1.802225726569338	-1.7665245773010403	-2.034605094368494	-1.3799658605333422	0.30404754237953213
cur_kal_20m_20200214	KP0381_AC_WP20	5628	-1.5861107553763136	-1.684902918932482	-1.510478885910261	-1.7444875077881346	-2.034605094368494	-1.219463045432753	0.5502039056600501
cur_kal_20m_20200214	KP0382_AC_WP20	510	-1.4758914461341186	-1.494015365848722	-1.4560930668776908	-1.5580293614120715	-1.8932917722790394	-1.1870399567688894	0.5910077920910096
